"Rank","Name","Symbol","pe_ratio_ttm","price (USD)","country"
"1","Capital A (Air Asia)","5099.KL","0.119483","0.0832919","Malaysia"
"2","Kyntra Bio","KYNB","0.200198","8.02","United States"
"3","AEON Biopharma","AEON","0.2119","0.2404","United States"
"4","Treasure Global","TGL","0.229368","2.08","Malaysia"
"5","Shoprite","SHP.JO","0.23807","18.8588","South Africa"
"6","Bicecorp","BICE.SN","0.245326","0.432271","Chile"
"7","Vertical Aerospace","EVTL","0.261026","0.7578","United Kingdom"
"8","Stem, Inc","STEM","0.345231","5.6013","United States"
"9","Xunlei","XNET","0.360836","5.035","China"
"10","The Arena Group","AREN","0.379032","0.9303","United States"
"11","Light S.A.","LIGT3.SA","0.393871","0.653912","Brazil"
"12","HelloFresh","HFG.DE","0.410443","3.2743","Germany"
"13","BRC Group Holdings","RILY","0.429762","7.13","United States"
"14","WiMi Hologram Cloud","WIMI","0.430719","1.37","China"
"15","Powszechny Zakład Ubezpieczeń","PZU.WA","0.500994","20.0493","Poland"
"16","Canacol Energy","CNE.TO","0.505037","1.10603","Canada"
"17","GFH Financial Group","GFH.AE","0.510351","0.53","Bahrain"
"18","Delek Group","DLEKG.TA","0.537317","28.3568","Israel"
"19","Clasquin SA","ALCLA.PA","0.556401","0.833139","France"
"20","Rent the Runway","RENT","0.558959","3.62","United States"
"21","Hyosung Chemical Corporation","298000.KS","0.58374","42.5845","South Korea"
"22","Iceland Seafood International","ICESEA.IC","0.626176","0.0355039","Iceland"
"23","Globavend","GVH","0.639752","1.06","Australia"
"24","Aimco","AIV","0.658163","2.545","United States"
"25","Kestrel Group","KG","0.673704","7.6","Bermuda"
"26","Raymond","RAYMOND.NS","0.679771","6.50982","India"
"27","Performance Shipping","PSHG","0.725322","1.735","Greece"
"28","Aksa Energy","AKSEN.IS","0.77968","1.70119","Turkey"
"29","Pixelworks","PXLW","0.780595","7.01","United States"
"30","Fortress Biotech","FBIO","0.788301","2.82","United States"
"31","Reliance Infrastructure","RELINFRA.NS","0.803293","0.644431","India"
"32","Coherus BioSciences","CHRS","0.820359","1.36","United States"
"33","Community Health Systems","CYH","0.855908","2.95","United States"
"34","Elutia","ELUT","0.863248","1.01","United States"
"35","SITE Centers","SITC","0.89759","3.02","United States"
"36","WildBrain","WILD.TO","0.948758","1.14615","Canada"
"37","Lands' End","LE","1.06971","12.22","United States"
"38","Jefferson Capital","JCAP","1.07209","21.55","United States"
"39","LexinFintech Holdings","LX","1.07568","1.185","China"
"40","Here Group Limited","HERE","1.08703","1.84","China"
"41","Heliad AG","A7A.DE","1.10887","16.6628","Germany"
"42","Nationwide Building Society","NBS.L","1.1399","174.766","United Kingdom"
"43","Grupo Aeromexico","AERO","1.14339","15.13","Mexico"
"44","Petrobras","PBR","1.15381","18.05","Brazil"
"45","Ashoka Buildcon","ASHOKA.NS","1.17922","1.19568","India"
"46","Omni Bridgeway","OBL.AX","1.24596","1.00796","Australia"
"47","Transcontinental","TCL-A.TO","1.36785","3.96468","Canada"
"48","Mercor","MCR.WA","1.37885","4.11824","Poland"
"49","SuRo Capital","SSSS","1.3887","12.54","United States"
"50","Live Ventures","LIVE","1.55556","9.4","United States"
"51","Neuphoria Therapeutics","NEUP","1.56911","3.92","United States"
"52","Allied Tecnologia","ALLD3.SA","1.59377","1.01482","Brazil"
"53","AMTD IDEA Group","AMTD","1.60438","0.78","Hong Kong"
"54","TriMas","TRS","1.64938","39.93","United States"
"55","Vitru","VTRU3.SA","1.68975","2.63311","Brazil"
"56","Neonode","NEON","1.71717","0.9122","Sweden"
"57","LuxExperience","LUXE","1.77026","7.82","Germany"
"58","Uniti","UNIT","1.77504","10.15","United States"
"59","Banca IFIS","IF.MI","1.78514","17.5367","Italy"
"60","Sabre","SABR","1.79365","2.16","United States"
"61","Sohu.com","SOHU","1.83036","14.23","China"
"62","ASA Gold and Precious Metals","ASA","1.83575","64.6","United States"
"63","Ayyan Investment Company","2140.SR","1.96785","2.62086","Saudi Arabia"
"64","Cemex","CX","1.98842","11","Mexico"
"65","Synergy CHC","SNYR","2","0.1","United States"
"66","Fannie Mae","FNMA","2.07819","6.27","United States"
"67","Qfin Holdings","QFIN","2.07936","9.39","China"
"68","Nano Labs","NA","2.09267","2.09","China"
"69","GTL Infrastructure","GTLINFRA.NS","2.09389","0.0126832","India"
"70","Orora Limited","ORA.AX","2.20205","1.06177","Australia"
"71","Columbus Energy","CLC.WA","2.27115","0.932022","Poland"
"72","LendingTree","TREE","2.31691","29.91","United States"
"73","Rigel Pharmaceuticals","RIGL","2.32935","46.27","United States"
"74","Oramed Pharmaceuticals","ORMP","2.33632","5.195","United States"
"75","Zoomd Technologies","ZOMD.V","2.33747","0.346008","Canada"
"76","KCC Corp","002380.KS","2.34417","340.676","South Korea"
"77","Korea Electric Power","KEP","2.46404","12.235","South Korea"
"78","Star Group","SGU","2.47441","12.57","United States"
"79","Embecta","EMBC","2.63351","4.98","United States"
"80","Iveco Group","IVG.MI","2.63436","16.2724","Italy"
"81","Eisen- und Hüttenwerke","EIS.F","2.64364","16.3132","Germany"
"82","AS Pro Kapital Grupp","PKG1T.TL","2.67468","0.751573","Estonia"
"83","SD BioSensor","137310.KS","2.73863","4.56881","South Korea"
"84","Alliance Aviation Services","AQZ.AX","2.75683","0.64632","Australia"
"85","Dana Incorporated","DAN","2.76697","30.025","United States"
"86","MarketWise","MKTW","2.78493","18.045","United States"
"87","maison pommery &amp; associes","POMRY.PA","2.78616","11.7688","France"
"88","Aiforia Technologies Oyj","AIFORIA.HE","2.81032","1.33069","Finland"
"89","MAX Automation","MXHN.DE","2.88677","3.98509","Germany"
"90","Formula Systems","FORTY","2.88793","115.25","Israel"
"91","Enea","ENA.WA","2.91784","5.3212","Poland"
"92","Coffee Day Enterprises","COFFEEDAY.NS","2.97521","0.312153","India"
"93","Innoviva","INVA","3.01567","21.28","United States"
"94","Lead Real Estate","LRE","3.03261","1.25","Japan"
"95","Komerční banka","KOMB.PR","3.11252","51.3992","Czech Republic"
"96","Imperial Petroleum","IMPP","3.12883","4.85","Greece"
"97","LEG Immobilien","LEG.DE","3.1389","57.9352","Germany"
"98","Atara Biotherapeutics","ATRA","3.15385","9.725","United States"
"99","Fragbite Group","FRAG.ST","3.15831","0.611224","Sweden"
"100","Korea Gas","036460.KS","3.17266","26.7777","South Korea"
"101","Willis Lease Finance Corporation","WLFC","3.19229","54.86","United States"
"102","Lubelski Wegiel Bogdanka","LWB.WA","3.22472","6.69213","Poland"
"103","Standard BioTools","LAB","3.25","0.6537","United States"
"104","Paramount Resources","POU.TO","3.26612","23.0096","Canada"
"105","Sunway","5211.KL","3.324","1.27548","Malaysia"
"106","HMS Bergbau","HMU.DE","3.32718","46.9588","Germany"
"107","Allied Group Limited","0373.HK","3.36373","0.272353","Hong Kong"
"108","Motorsport Gaming","MSGM","3.41026","4","United States"
"109","Groupe Partouche","PARP.PA","3.41666","20.9159","France"
"110","Zealand Pharma","ZEAL.CO","3.43141","49.0779","Denmark"
"111","Aena","AENA.MC","3.50664","32.1603","Spain"
"112","Sea1 Offshore","SEA1.OL","3.51033","2.9128","Norway"
"113","StoneCo","STNE","3.52229","9.86","Brazil"
"114","Boyd Gaming","BYD","3.5559","80.625","United States"
"115","Jacktel AS","JACK.OL","3.58647","0.625396","Norway"
"116","Grange Resources","GRR.AX","3.5929","0.0968506","Australia"
"117","Asiya Capital Investments Company","ASIYA.KW","3.60253","133.638","Kuwait"
"118","CorMedix","CRMD","3.61181","8.4101","United States"
"119","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","3.62041","1.4745","India"
"120","Lang &amp; Schwarz","LUS1.DE","3.67774","22.1394","Germany"
"121","Banca Sistema S.p.A.","BST.MI","3.68663","1.85505","Italy"
"122","Sunrun","RUN","3.75102","8.975","United States"
"123","Catana Group","ALCAT.PA","3.77052","2.12072","France"
"124","SHUAA Capital","SHUAA.AE","3.78849","0.0588171","United Arab Emirates"
"125","Aroundtown","AT1.F","3.86548","2.37707","Luxembourg"
"126","Rogers Communications","RCI","3.86804","36.81","Canada"
"127","Suzano","SUZ","3.87266","8.985","Brazil"
"128","The Cross-Harbour Holdings","0032.HK","3.88332","0.968225","Hong Kong"
"129","Tauron Polska","TPE.WA","3.90666","2.31868","Poland"
"130","Mirae Asset Securities Co., Ltd.","006805.KS","3.96209","9.28198","South Korea"
"131","VakıfBank","VAKBN.IS","3.989","0.667174","Turkey"
"132","SPARC","SPARC.NS","4.01122","2.03727","India"
"133","Nexen Tire Corporation","002350.KS","4.0127","4.73482","South Korea"
"134","Euroseas","ESEA","4.03564","74.47","Greece"
"135","Evergreen Marine","2603.TW","4.05092","7.25503","Taiwan"
"136","Sonim Technologies","SONM","4.08122","3.28","United States"
"137","Industrivarden","INDU-A.ST","4.08159","56.7116","Sweden"
"138","Charter Communications","CHTR","4.12058","153.315","United States"
"139","NexPoint Real Estate Finance","NREF","4.17705","17.21","United States"
"140","First Pacific Company","0142.HK","4.18934","0.650586","Hong Kong"
"141","Huuuge","HUG.WA","4.23614","5.93351","United States"
"142","Indian Oil","IOC.NS","4.23653","1.45846","India"
"143","Hindustan Petroleum","HINDPETRO.NS","4.24065","3.93598","India"
"144","Austin Engineering","ANG.AX","4.24989","0.118373","Australia"
"145","Construtora Tenda S.A.","TEND3.SA","4.27259","6.35672","Brazil"
"146","OrganiGram Holdings","OGI","4.2745","1.2511","Canada"
"147","GarantiBank","GARAN.IS","4.28572","2.77054","Turkey"
"148","Onity Group","ONIT","4.28781","34.505","United States"
"149","CNX Resources","CNX","4.30108","36.165","United States"
"150","Global Ship Lease","GSL","4.30199","45.3","United Kingdom"
"151","Nu Skin","NUS","4.33036","4.83","United States"
"152","American Coastal Insurance Corporation","ACIC","4.3318","9.56","United States"
"153","Abeona Therapeutics","ABEO","4.34266","6.04","United States"
"154","Etablissements Maurel &amp; Prom","MAU.PA","4.34457","9.09462","France"
"155","Power Finance Corp","PFC.NS","4.347","3.81648","India"
"156","Thai Oil","TOP.BK","4.38648","1.89787","Thailand"
"157","Litgrid AB","LGD1L.VS","4.40331","1.30506","Lithuania"
"158","edenor","EDN","4.40592","23.79","Argentina"
"159","Virgin Australia","VGN.AX","4.42517","1.90114","Australia"
"160","Canada Packers","CPKR.TO","4.43884","12.1535","Canada"
"161","AB Kauno Energija","KNR1L.VS","4.44754","2.42368","Lithuania"
"162","SK Group","034730.KS","4.47128","399.861","South Korea"
"163","Weibo","WB","4.47799","7.04","China"
"164","Korea Investment Holdings","071050.KS","4.47978","138.003","South Korea"
"165","Katapult Holdings","KPLT","4.48335","5.7","United States"
"166","Gladstone Investment","GAIN","4.48365","16.455","United States"
"167","Repco Home Finance","REPCOHOME.NS","4.50102","3.79761","India"
"168","Spero Therapeutics","SPRO","4.55556","1.209","United States"
"169","Air Canada","AC.TO","4.57102","20.1766","Canada"
"170","InfraCom Group AB","INFRA.ST","4.5881","2.16344","Sweden"
"171","Bradespar","BRAP3.SA","4.61664","3.6654","Brazil"
"172","Yang Ming","2609.TW","4.63823","1.80905","Taiwan"
"173","SHB (Saigon - Hanoi Commercial Joint Stock Bank)","SHB.VN","4.63971","0.46165","Vietnam"
"174","JSC Halyk Bank","H4L1.F","4.64671","34.0247","Kazakhstan"
"175","Creades AB","CRED-A.ST","4.65355","9.44142","Sweden"
"176","Waterdrop Inc.","WDH","4.67292","0.9949","China"
"177","Minerva S.A.","BEEF3.SA","4.6733","0.781978","Brazil"
"178","Grand City Properties","GYC.DE","4.67346","10.8949","Luxembourg"
"179","Hornbach Holding","HBH.DE","4.69167","95.1992","Germany"
"180","China Zheshang Bank","2016.HK","4.70585","0.295953","China"
"181","Arca Continental","AC.MX","4.72376","11.6828","Mexico"
"182","Banco do Estado do Rio Grande do Sul S.A.","BRSR6.SA","4.74337","2.70296","Brazil"
"183","Life Healthcare Group","LHC.JO","4.75108","0.720281","South Africa"
"184","LIC Housing Finance","LICHSGFIN.NS","4.75962","5.49674","India"
"185","Emperor Watch &amp; Jewellery","0887.HK","4.77501","0.0389076","Hong Kong"
"186","Vodafone Idea","IDEA.NS","4.81326","0.157858","India"
